Index,Fe2+,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399
0,0,33063,32113,31327,30621,30100,29712,29494,29349,29223,29168,29192,29307,29551,29865,30376,23859,24819,25691,26399,27053,27675,28235,28759,29262,29745,30248,30756,31238,31700,32208,32752,33272,33687,34066,34407,34711,34968,35197,35375,35527,35623,35669,35666,35591,35440,35204,34916,34523,34068,33511,32898,32185,31451,30653,29858,29015,28188,27411,26682,26014,25399,24814,24310,23859,23472,23123,22831,22561,22349,22171,22005,21890,21842,21959,22131,22239,22251,22234,22174,22108,22008,21881,21753,21628,21487,21316,21165,21016,20881,20743,20595,20448,20299,20154,20005,19849,19703,38810,38487,38163,37847,37544,37227,36910,36566,36224,35876,35532,35213,34866,34496,34127,33777,33415,33041,32657,32251,31844,31436,31036,30663,30279,29884,29486,29082,28677,28265,27815,27370,26925,26483,26035,25581,25147,24687,24232,23763,23308,22843,22375,21879,21373,20886,20385,19908,19408,18915,18429,17965,17488,16029,16243,16425,16591,16723,16835,16911,16955,16989,16976,16949,16886,16812,16707,16567,16404,16207,15992,15754,15470,15156,14807,14446,14047,13602,13113,12563,11985,11368,10714,10015,9296,8552,7787,7029,6258,5485,4727,4007,3346,2721,2179,1716,1334,2041,1564,1206,960,792,681,613,571,549,533,528,525,525,520,518,519,519,519,520,515,514,515,516,518,515,1021,1022,1028,1019,1019,1021,1020,1018,1019,1018,1017,990,996,994,993,990,993,994,989,999,990,993,996,995,992,995,997,993,997,1000,992,994,995,995,994,995,994,993,989,1914,1919,1936,1947,1948,1947,1937,1943,1945,1951,1939,1946,1943,1939,1937,1932,1941,1942,1943,1941,1941,1939,1943,1007,997,998,1005,999,998,1003,1003,999,1003,1001,1001,999,999,999,999,996,999,1003,997,1000,1000,1000,999,1002,1000,999,1003,1005,1001,1000,1007,997,1004,1006,1003,1006,1005,1001,1003,1004,1006,1008,1008,1003,1004,1005,1005,1003,1000,1001,1001,1001,997,995,999,1003,1003,996,998,996,1002,999,1005,1002,1000,1001,1006,1002,1008,1001,1003,999,1003,1006,1003,999,999,998,999,1004,1002,1001,996,1002,1005,1005,1002,1002,1943,1945,1939,1943,1938,1948,1949,1953,1940,1939,1943,1943,1939,1941,1939,1937,3904,3901,3888,3870,3886,3895,3901,3917,3889,3884,3899,3879,3885,3879
0,0,33113,32178,31349,30674,30139,29742,29542,29395,29271,29233,29271,29410,29640,29980,30509,23919,24901,25743,26433,27113,27722,28288,28796,29300,29783,30272,30769,31237,31716,32241,32771,33264,33704,34081,34423,34723,34982,35196,35387,35530,35623,35673,35647,35574,35434,35222,34907,34514,34041,33501,32868,32151,31405,30622,29823,28994,28157,27383,26656,25993,25372,24808,24295,23842,23460,23126,22830,22569,22347,22160,21999,21885,21853,21955,22142,22227,22240,22211,22164,22094,22000,21876,21742,21617,21469,21323,21160,21011,20863,20725,20586,20451,20307,20163,20013,19853,19693,38799,38507,38215,37906,37582,37252,36931,36599,36255,35909,35568,35224,34878,34522,34159,33792,33445,33060,32670,32279,31880,31480,31077,30710,30321,29931,29539,29142,28736,28307,27882,27461,27008,26582,26132,25700,25262,24807,24352,23889,23421,22969,22500,22020,21525,21043,20553,20069,19571,19075,18599,18121,17662,16229,16455,16648,16823,16976,17099,17195,17264,17294,17302,17283,17245,17186,17090,16977,16832,16658,16463,16243,15994,15701,15392,15048,14668,14266,13802,13287,12736,12142,11523,10844,10125,9399,8640,7874,7073,6274,5473,4703,3981,3295,2676,2141,1672,2572,1954,1505,1166,939,782,680,622,587,574,561,556,555,551,548,549,547,551,547,545,546,540,541,540,545,1073,1076,1073,1075,1077,1074,1078,1068,1075,1070,1073,1049,1056,1046,1047,1043,1047,1044,1050,1045,1045,1049,1048,1047,1046,1048,1037,1046,1046,1042,1045,1049,1045,1043,1045,1045,1043,1044,1046,2019,2014,2041,2048,2056,2055,2057,2049,2052,2056,2052,2053,2057,2041,2050,2043,2041,2055,2057,2040,2052,2058,2054,1058,1062,1063,1064,1059,1057,1061,1054,1060,1063,1066,1058,1057,1058,1059,1060,1056,1054,1063,1057,1063,1066,1061,1060,1064,1061,1056,1053,1059,1060,1056,1059,1052,1056,1053,1061,1061,1053,1059,1058,1047,1051,1056,1056,1055,1056,1060,1050,1060,1060,1060,1062,1058,1057,1057,1061,1062,1059,1055,1062,1062,1058,1059,1056,1059,1063,1054,1063,1061,1057,1063,1063,1057,1057,1055,1059,1061,1059,1059,1052,1056,1057,1058,1059,1059,1058,1059,1055,1056,2048,2036,2041,2042,2034,2041,2049,2045,2045,2043,2045,2029,2041,2039,2043,2033,4104,4095,4089,4079,4099,4090,4102,4101,4104,4098,4101,4097,4109,4098
0,0,33038,32105,31298,30613,30061,29679,29466,29306,29197,29156,29201,29335,29567,29886,30412,23858,24854,25702,26397,27058,27668,28236,28744,29243,29720,30229,30725,31180,31659,32183,32725,33234,33655,34024,34361,34657,34915,35144,35327,35474,35576,35623,35619,35527,35395,35175,34864,34489,34018,33471,32836,32149,31408,30621,29833,28989,28166,27382,26670,25993,25357,24804,24300,23856,23466,23127,22823,22572,22351,22167,22005,21900,21854,21968,22154,22231,22245,22223,22176,22105,22010,21887,21751,21619,21482,21336,21179,21021,20874,20739,20604,20471,20320,20173,20016,19863,19703,38833,38531,38221,37920,37609,37277,36932,36617,36271,35941,35592,35242,34875,34511,34147,33792,33431,33056,32671,32279,31877,31463,31075,30698,30328,29936,29530,29122,28735,28308,27876,27441,27005,26563,26115,25671,25231,24795,24343,23876,23436,22964,22491,22011,21522,21035,20535,20055,19571,19068,18586,18118,17654,16201,16418,16613,16786,16935,17057,17155,17205,17247,17251,17223,17179,17110,17008,16877,16730,16547,16345,16097,15838,15544,15204,14856,14464,14033,13552,13015,12443,11834,11192,10498,9781,9034,8254,7489,6695,5900,5120,4365,3669,3005,2427,1920,1497,2290,1743,1335,1049,852,719,634,589,561,546,536,534,525,529,532,529,525,523,525,525,523,520,522,523,520,1037,1035,1034,1032,1033,1029,1033,1030,1034,1030,1026,999,1003,1003,1006,1007,1009,1012,1010,1009,1004,1008,1004,1011,1006,1004,1007,1005,1005,1008,1007,1004,1010,1011,1005,1008,1011,1005,1008,1941,1943,1968,1966,1959,1970,1962,1969,1973,1967,1971,1955,1969,1960,1968,1965,1964,1960,1964,1963,1961,1963,1967,1008,1013,1019,1013,1017,1012,1015,1011,1015,1017,1009,1012,1012,1015,1018,1016,1015,1014,1014,1015,1013,1015,1013,1015,1013,1015,1021,1017,1015,1011,1018,1014,1009,1017,1017,1016,1015,1014,1020,1013,1008,1021,1009,1013,1018,1015,1020,1015,1014,1011,1017,1015,1011,1012,1012,1014,1015,1009,1012,1012,1011,1011,1018,1018,1018,1013,1012,1011,1013,1015,1009,1014,1012,1015,1015,1010,1017,1015,1011,1012,1018,1015,1013,1015,1017,1016,1015,1015,1015,1963,1947,1965,1963,1965,1957,1955,1963,1947,1964,1957,1964,1956,1967,1957,1955,3954,3939,3929,3927,3930,3935,3927,3929,3927,3933,3927,3937,3911,3937
0,0,33080,32154,31316,30648,30104,29713,29488,29351,29235,29204,29252,29374,29608,29934,30464,23903,24883,25740,26435,27095,27699,28258,28777,29268,29768,30252,30749,31236,31714,32251,32774,33270,33693,34080,34435,34686,34965,35191,35390,35525,35603,35639,35659,35579,35457,35209,34887,34524,34071,33540,32867,32160,31388,30644,29826,29002,28166,27388,26671,26007,25369,24805,24299,23839,23461,23125,22821,22563,22354,22165,22002,21892,21849,21969,22151,22237,22230,22212,22175,22088,22003,21887,21750,21616,21463,21308,21162,21018,20877,20731,20589,20447,20305,20157,20017,19840,19692,38796,38485,38180,37865,37559,37248,36908,36556,36217,35867,35521,35193,34817,34468,34088,33731,33361,33000,32620,32209,31805,31411,31003,30641,30267,29859,29458,29047,28649,28235,27794,27343,26909,26476,26040,25597,25155,24709,24249,23779,23339,22875,22405,21927,21435,20951,20476,19987,19497,19001,18525,18059,17591,16147,16371,16568,16736,16897,17013,17109,17169,17202,17209,17191,17143,17071,16975,16864,16717,16536,16337,16101,15840,15545,15221,14871,14486,14071,13602,13074,12507,11899,11267,10577,9865,9130,8357,7595,6798,6008,5217,4465,3761,3091,2503,1984,1549,2375,1804,1384,1076,878,737,651,599,569,553,549,542,538,534,533,528,532,530,530,529,527,526,529,525,526,1043,1041,1042,1048,1045,1046,1047,1046,1045,1042,1041,1023,1016,1017,1019,1016,1014,1015,1019,1017,1009,1015,1014,1012,1015,1013,1011,1015,1018,1016,1015,1011,1011,1011,1009,1014,1014,1012,1016,1960,1968,1962,1982,1981,1976,1975,1985,1976,1982,1982,1985,1979,1976,1974,1970,1973,1985,1976,1977,1981,1982,1989,1029,1029,1025,1015,1025,1021,1017,1022,1017,1022,1021,1022,1022,1023,1025,1024,1027,1022,1021,1024,1018,1026,1025,1023,1029,1019,1025,1021,1025,1024,1022,1018,1021,1022,1024,1017,1025,1017,1027,1023,1025,1025,1027,1025,1027,1021,1025,1022,1023,1026,1021,1029,1024,1022,1028,1025,1021,1025,1026,1027,1017,1021,1028,1025,1027,1025,1025,1025,1021,1027,1023,1027,1026,1025,1021,1027,1027,1027,1027,1024,1026,1027,1027,1019,1021,1027,1031,1026,1024,1983,1985,1977,1977,1979,1991,1981,1975,1989,1987,1971,1979,1984,1980,1984,1989,3985,4006,3983,3973,3978,3960,3971,3975,3985,3987,4011,4000,3991,4000
0,0,33104,32133,31321,30649,30102,29744,29502,29359,29252,29200,29243,29377,29620,29943,30487,23925,24909,25737,26431,27094,27701,28266,28789,29280,29783,30275,30771,31246,31726,32240,32788,33295,33712,34085,34421,34720,34983,35210,35412,35528,35622,35658,35646,35602,35456,35239,34911,34523,34070,33510,32865,32163,31408,30622,29817,28980,28163,27385,26650,25980,25357,24806,24295,23844,23465,23117,22819,22561,22353,22165,22006,21875,21846,21958,22145,22243,22244,22210,22171,22101,22007,21873,21745,21610,21474,21322,21158,21005,20860,20725,20582,20447,20302,20151,20000,19847,19689,38799,38504,38193,37865,37554,37230,36925,36587,36228,35870,35531,35180,34829,34463,34116,33751,33398,33015,32631,32216,31812,31422,31044,30661,30273,29875,29490,29085,28672,28259,27828,27386,26945,26510,26064,25623,25184,24739,24284,23826,23363,22905,22453,21973,21471,20992,20496,20011,19525,19031,18553,18074,17625,16178,16395,16597,16775,16923,17047,17136,17200,17239,17241,17235,17189,17119,17025,16906,16767,16580,16386,16151,15894,15599,15291,14935,14559,14145,13679,13146,12589,11985,11364,10677,9961,9220,8465,7692,6894,6096,5303,4548,3836,3159,2565,2037,1590,2440,1853,1426,1109,896,754,663,611,577,559,551,547,546,537,543,537,538,535,537,537,536,535,533,531,530,1058,1061,1057,1053,1057,1056,1051,1057,1047,1051,1047,1032,1029,1031,1031,1031,1027,1028,1028,1027,1022,1021,1025,1027,1025,1028,1027,1025,1032,1023,1029,1026,1027,1027,1024,1028,1030,1028,1029,1977,1985,2002,2005,2003,2004,2017,2013,2002,2005,2009,2000,2009,2009,2003,2006,1996,2006,1996,1997,2001,1995,2007,1036,1035,1043,1038,1032,1033,1034,1032,1037,1033,1042,1037,1034,1037,1031,1034,1030,1038,1037,1041,1035,1038,1033,1043,1039,1038,1042,1037,1037,1031,1038,1033,1034,1039,1036,1032,1037,1033,1035,1037,1043,1039,1037,1035,1033,1029,1035,1031,1033,1032,1036,1036,1037,1031,1034,1040,1040,1036,1041,1031,1040,1035,1032,1032,1036,1035,1034,1030,1034,1031,1037,1034,1033,1033,1036,1038,1036,1032,1030,1028,1031,1033,1037,1035,1037,1033,1037,1039,1037,2005,2013,2017,2007,2003,2015,2008,2009,2005,2005,1999,1989,1994,2001,1998,1999,4007,4028,4007,4024,4009,4021,4021,4025,3998,4024,3993,4012,4007,4015
0,0,33104,32154,31344,30651,30114,29732,29504,29366,29251,29207,29243,29393,29629,29956,30484,23899,24890,25728,26459,27101,27722,28278,28773,29271,29764,30264,30765,31224,31717,32230,32775,33280,33711,34073,34405,34712,34985,35209,35387,35539,35625,35664,35655,35578,35425,35213,34903,34534,34061,33521,32863,32160,31408,30624,29824,28995,28170,27384,26674,26003,25361,24800,24280,23845,23462,23121,22820,22564,22349,22165,22000,21897,21844,21961,22148,22233,22241,22216,22170,22101,22005,21881,21751,21617,21472,21324,21172,21015,20871,20733,20603,20458,20303,20169,20019,19870,19703,38823,38512,38201,37894,37588,37263,36939,36595,36246,35907,35570,35225,34873,34518,34151,33786,33427,33076,32693,32271,31879,31478,31092,30709,30331,29932,29547,29140,28736,28317,27878,27447,27028,26579,26125,25691,25256,24803,24340,23882,23430,22963,22500,22018,21525,21045,20545,20072,19577,19077,18605,18116,17674,16211,16442,16638,16810,16965,17077,17175,17245,17275,17284,17274,17239,17175,17078,16955,16809,16632,16437,16211,15955,15663,15344,14998,14625,14205,13733,13207,12647,12055,11423,10743,10031,9282,8521,7751,6952,6157,5353,4593,3879,3205,2595,2069,1613,2473,1886,1443,1126,907,758,666,615,583,564,557,551,545,545,541,545,542,539,538,538,535,541,537,538,537,1069,1063,1064,1065,1063,1063,1063,1057,1061,1062,1063,1035,1034,1036,1032,1037,1036,1035,1034,1036,1034,1034,1030,1037,1033,1037,1034,1035,1033,1034,1036,1033,1033,1034,1032,1032,1033,1032,1037,1995,2000,2014,2017,2024,2017,2017,2023,2016,2026,2010,2023,2020,2020,2027,2024,2026,2023,2025,2027,2014,2008,2020,1043,1046,1044,1044,1045,1047,1044,1047,1041,1042,1039,1041,1045,1041,1043,1044,1041,1038,1042,1045,1047,1047,1043,1045,1049,1042,1045,1042,1041,1045,1038,1039,1044,1045,1044,1045,1045,1043,1045,1040,1040,1045,1046,1037,1041,1040,1045,1040,1034,1045,1041,1041,1040,1041,1042,1034,1039,1043,1042,1041,1042,1043,1042,1041,1036,1038,1040,1043,1045,1045,1038,1041,1046,1045,1044,1042,1046,1042,1036,1046,1038,1043,1047,1038,1040,1041,1047,1044,1049,2013,2017,2005,2010,2008,2007,2018,2009,2017,2013,2019,2013,2012,2013,2011,2005,4036,4020,4037,4033,4030,4023,4009,4023,4023,4043,4041,4045,4045,4043
0,1,33092,32145,31325,30660,30123,29758,29545,29380,29267,29227,29255,29419,29639,29966,30505,23937,24905,25743,26440,27095,27711,28273,28790,29294,29781,30282,30775,31250,31728,32224,32766,33285,33703,34103,34416,34717,34981,35197,35394,35535,35637,35671,35651,35580,35433,35208,34917,34519,34068,33528,32877,32181,31447,30648,29831,29008,28152,27378,26664,26006,25364,24796,24279,23849,23447,23121,22818,22564,22344,22157,22001,21891,21844,21955,22132,22224,22225,22208,22168,22101,22008,21884,21755,21621,21473,21316,21162,21012,20871,20745,20604,20455,20314,20175,20005,19845,19693,38825,38522,38209,37901,37580,37257,36963,36598,36251,35909,35587,35256,34900,34544,34151,33793,33427,33075,32695,32296,31902,31486,31076,30712,30343,29975,29554,29145,28741,28338,27894,27456,27026,26577,26134,25697,25254,24825,24343,23890,23425,22977,22521,22014,21536,21042,20550,20071,19587,19094,18609,18129,17673,16238,16452,16653,16827,16982,17109,17204,17269,17299,17305,17286,17248,17184,17085,16966,16817,16651,16450,16221,15975,15691,15371,15021,14648,14229,13759,13243,12679,12085,11460,10781,10065,9328,8565,7796,7000,6196,5395,4638,3917,3240,2624,2092,1639,2505,1914,1463,1138,922,769,674,617,583,569,555,553,550,551,546,548,544,545,544,540,543,540,543,542,537,1078,1073,1073,1074,1075,1072,1069,1066,1067,1068,1063,1043,1043,1039,1047,1047,1045,1037,1036,1040,1039,1039,1035,1035,1039,1043,1038,1040,1038,1041,1034,1041,1038,1041,1036,1035,1038,1034,1041,2005,1998,2025,2027,2022,2025,2019,2029,2034,2018,2020,2025,2030,2021,2030,2023,2027,2030,2017,2025,2021,2028,2031,1047,1043,1051,1049,1048,1049,1052,1050,1049,1049,1048,1045,1051,1049,1044,1044,1047,1047,1045,1046,1045,1046,1044,1047,1053,1051,1046,1049,1051,1053,1049,1047,1048,1050,1052,1050,1047,1044,1046,1049,1052,1044,1042,1048,1049,1046,1046,1050,1053,1054,1052,1047,1051,1053,1056,1045,1053,1041,1045,1049,1049,1047,1048,1050,1048,1053,1051,1052,1048,1055,1051,1051,1049,1056,1049,1052,1050,1056,1051,1047,1051,1053,1054,1051,1053,1051,1050,1051,1046,2024,2033,2029,2035,2032,2029,2029,2029,2031,2040,2029,2026,2027,2025,2028,2023,4071,4085,4072,4069,4081,4069,4069,4083,4068,4082,4067,4067,4061,4091
0,2,33096,32140,31334,30648,30139,29737,29537,29373,29270,29221,29245,29397,29619,29960,30495,23927,24891,25741,26438,27097,27703,28264,28775,29276,29776,30270,30755,31230,31698,32228,32785,33288,33706,34080,34408,34698,34966,35191,35376,35526,35615,35660,35659,35574,35431,35199,34908,34509,34058,33516,32876,32163,31398,30615,29819,28990,28158,27383,26662,25978,25365,24791,24291,23840,23460,23114,22820,22555,22327,22164,22001,21880,21843,21954,22139,22213,22234,22221,22180,22099,21991,21876,21737,21603,21466,21319,21171,21016,20875,20743,20598,20462,20311,20169,20010,19860,19705,38843,38511,38227,37888,37589,37272,36943,36616,36269,35929,35595,35254,34907,34547,34182,33818,33456,33106,32733,32320,31897,31515,31135,30758,30384,29991,29587,29217,28795,28361,27918,27493,27074,26617,26190,25752,25307,24861,24402,23946,23481,23042,22555,22069,21583,21095,20611,20118,19636,19134,18638,18177,17709,16281,16503,16699,16873,17028,17152,17252,17319,17351,17354,17347,17303,17231,17138,17021,16882,16710,16513,16285,16034,15740,15416,15085,14707,14293,13820,13293,12739,12148,11517,10842,10119,9384,8621,7845,7056,6253,5446,4673,3953,3264,2649,2116,1649,2535,1934,1473,1152,926,778,676,624,587,571,565,557,552,551,549,544,548,547,549,544,541,541,541,541,541,1077,1069,1068,1069,1069,1076,1072,1070,1063,1069,1065,1045,1042,1043,1043,1041,1044,1044,1037,1045,1042,1046,1047,1049,1045,1045,1040,1047,1043,1049,1044,1045,1043,1044,1047,1043,1050,1047,1042,2021,2013,2038,2048,2040,2035,2041,2035,2037,2039,2037,2043,2039,2042,2042,2044,2045,2045,2032,2051,2042,2031,2041,1056,1053,1052,1055,1054,1055,1054,1050,1052,1053,1053,1057,1051,1057,1058,1052,1052,1048,1049,1053,1050,1053,1055,1054,1052,1054,1051,1053,1048,1057,1052,1053,1057,1061,1060,1058,1058,1062,1058,1059,1058,1060,1063,1055,1056,1058,1060,1060,1057,1061,1057,1057,1058,1061,1053,1052,1060,1061,1058,1058,1060,1058,1053,1057,1057,1062,1057,1062,1056,1055,1053,1053,1061,1058,1057,1056,1059,1058,1062,1061,1059,1059,1063,1063,1063,1057,1062,1059,1061,2053,2048,2042,2044,2043,2048,2048,2040,2045,2054,2043,2042,2044,2045,2039,2038,4094,4103,4099,4107,4090,4087,4102,4082,4095,4095,4113,4121,4105,4098
0,3,33087,32152,31327,30662,30114,29724,29516,29377,29268,29221,29256,29389,29621,29948,30500,23922,24904,25757,26445,27103,27718,28287,28808,29283,29784,30267,30762,31223,31702,32244,32780,33277,33704,34064,34407,34703,34955,35181,35383,35536,35635,35662,35653,35583,35439,35207,34893,34509,34049,33512,32887,32177,31411,30627,29837,29003,28155,27386,26663,25981,25373,24795,24296,23851,23458,23117,22825,22567,22350,22156,22007,21883,21847,21959,22136,22224,22239,22212,22161,22094,21996,21884,21749,21626,21477,21321,21161,21028,20875,20737,20595,20463,20314,20167,20011,19857,19711,38843,38537,38241,37915,37591,37284,36949,36623,36276,35943,35597,35253,34890,34536,34181,33820,33466,33104,32713,32322,31914,31515,31131,30763,30387,29989,29595,29188,28788,28375,27943,27499,27067,26628,26188,25755,25312,24859,24398,23949,23497,23051,22568,22079,21580,21090,20612,20118,19638,19140,18647,18183,17726,16286,16515,16711,16883,17039,17168,17259,17327,17367,17374,17359,17315,17256,17160,17047,16901,16726,16533,16312,16058,15767,15451,15108,14734,14323,13842,13320,12766,12176,11541,10863,10139,9411,8642,7865,7073,6263,5463,4688,3970,3280,2663,2127,1664,2557,1949,1488,1158,927,779,682,621,589,573,563,556,551,550,552,549,547,546,548,544,543,546,542,545,546,1080,1077,1076,1074,1080,1076,1066,1074,1072,1070,1066,1044,1047,1042,1047,1045,1049,1047,1051,1047,1043,1049,1050,1051,1048,1050,1049,1046,1051,1047,1045,1045,1045,1045,1045,1053,1048,1054,1045,2028,2023,2042,2039,2041,2050,2049,2039,2043,2036,2044,2040,2035,2039,2043,2050,2045,2048,2034,2038,2043,2037,2041,1062,1052,1057,1063,1060,1054,1060,1062,1060,1061,1057,1054,1059,1055,1058,1058,1057,1058,1060,1061,1061,1056,1057,1055,1060,1060,1054,1059,1063,1052,1055,1057,1057,1061,1060,1058,1058,1062,1058,1059,1058,1060,1063,1055,1056,1058,1060,1060,1057,1061,1057,1057,1058,1061,1053,1052,1060,1061,1058,1058,1060,1058,1053,1057,1057,1062,1057,1062,1056,1055,1053,1053,1061,1058,1057,1056,1059,1058,1062,1061,1059,1059,1063,1063,1063,1057,1062,1059,1061,2053,2048,2042,2044,2043,2048,2048,2040,2045,2054,2043,2042,2044,2045,2039,2038,4094,4103,4099,4107,4090,4087,4102,4082,4095,4095,4113,4121,4105,4098
0,4,33102,32164,31329,30674,30122,29733,29536,29392,29274,29216,29252,29396,29639,29954,30513,23918,24891,25743,26434,27108,27706,28267,28790,29271,29783,30284,30775,31239,31701,32235,32785,33290,33700,34088,34421,34707,34987,35207,35383,35539,35634,35684,35670,35582,35437,35212,34895,34517,34053,33515,32887,32158,31404,30630,29830,28994,28161,27375,26656,25985,25368,24796,24290,23842,23451,23103,22822,22558,22339,22158,22002,21883,21837,21953,22127,22227,22229,22208,22171,22099,21998,21883,21749,21613,21460,21324,21174,21024,20869,20743,20586,20466,20309,20175,20019,19859,19704,38828,38520,38222,37905,37599,37258,36919,36608,36294,35925,35556,35235,34883,34524,34168,33795,33426,33067,32692,32282,31873,31486,31111,30732,30348,29948,29546,29148,28741,28317,27895,27469,27025,26584,26141,25700,25267,24809,24355,23889,23437,22984,22509,22031,21534,21058,20563,20069,19584,19092,18613,18135,17670,16243,16459,16657,16829,16983,17111,17207,17271,17307,17320,17304,17254,17196,17105,16984,16843,16673,16482,16254,16012,15724,15403,15061,14688,14283,13813,13291,12741,12141,11516,10840,10125,9395,8625,7863,7070,6265,5470,4693,3974,3291,2666,2128,1667,2569,1951,1491,1163,935,777,682,624,593,569,561,556,554,551,549,549,547,545,545,544,547,544,546,544,541,1081,1077,1074,1075,1073,1073,1073,1069,1073,1074,1074,1047,1049,1041,1044,1045,1049,1049,1047,1048,1046,1046,1045,1048,1049,1055,1051,1049,1049,1052,1053,1045,1049,1051,1049,1046,1045,1043,1041,2021,2017,2050,2052,2045,2041,2048,2044,2042,2039,2046,2041,2040,2043,2039,2037,2039,2037,2043,2039,2048,2051,2037,1059,1057,1060,1053,1056,1057,1054,1051,1055,1055,1055,1056,1050,1058,1051,1052,1050,1055,1057,1059,1054,1050,1058,1057,1057,1058,1055,1058,1054,1056,1047,1059,1057,1053,1056,1053,1059,1053,1055,1061,1054,1052,1057,1053,1059,1057,1058,1057,1049,1054,1056,1059,1053,1057,1056,1057,1054,1053,1057,1050,1050,1053,1054,1053,1052,1057,1050,1055,1053,1055,1046,1050,1056,1047,1053,1053,1054,1057,1054,1061,1051,1053,1055,1053,1055,1053,1057,1059,1057,2048,2042,2045,2049,2037,2041,2051,2039,2038,2041,2040,2039,2048,2036,2052,2045,4093,4095,4099,4103,4104,4106,4089,4091,4107,4083,4095,4112,4099,4107
