Epoch 1: Train Loss: 1.4474, Train Accuracy: 0.3952
Epoch 2: Train Loss: 1.3021, Train Accuracy: 0.4524
Epoch 3: Train Loss: 1.2532, Train Accuracy: 0.4595
Epoch 4: Train Loss: 1.2192, Train Accuracy: 0.4738
Epoch 5: Train Loss: 1.1805, Train Accuracy: 0.4786
Epoch 6: Train Loss: 1.1445, Train Accuracy: 0.4738
Epoch 7: Train Loss: 1.1179, Train Accuracy: 0.4786
Epoch 8: Train Loss: 1.0980, Train Accuracy: 0.4786
Epoch 9: Train Loss: 1.0783, Train Accuracy: 0.4762
Epoch 10: Train Loss: 1.0587, Train Accuracy: 0.5310
Epoch 11: Train Loss: 1.0397, Train Accuracy: 0.5500
Epoch 12: Train Loss: 1.0228, Train Accuracy: 0.5476
Epoch 13: Train Loss: 1.0070, Train Accuracy: 0.5476
Epoch 14: Train Loss: 0.9898, Train Accuracy: 0.5548
Epoch 15: Train Loss: 0.9727, Train Accuracy: 0.5571
Epoch 16: Train Loss: 0.9577, Train Accuracy: 0.5643
Epoch 17: Train Loss: 0.9439, Train Accuracy: 0.5714
Epoch 18: Train Loss: 0.9318, Train Accuracy: 0.5786
Epoch 19: Train Loss: 0.9212, Train Accuracy: 0.5905
Epoch 20: Train Loss: 0.9117, Train Accuracy: 0.5976
Epoch 21: Train Loss: 0.9036, Train Accuracy: 0.6286
Epoch 22: Train Loss: 0.8961, Train Accuracy: 0.6667
Epoch 23: Train Loss: 0.8899, Train Accuracy: 0.7262
Epoch 24: Train Loss: 0.8839, Train Accuracy: 0.7310
Epoch 25: Train Loss: 0.8781, Train Accuracy: 0.7310
Epoch 26: Train Loss: 0.8722, Train Accuracy: 0.7357
Epoch 27: Train Loss: 0.8656, Train Accuracy: 0.7429
Epoch 28: Train Loss: 0.8589, Train Accuracy: 0.7429
Epoch 29: Train Loss: 0.8525, Train Accuracy: 0.7429
Epoch 30: Train Loss: 0.8462, Train Accuracy: 0.7429
Epoch 31: Train Loss: 0.8405, Train Accuracy: 0.7429
Epoch 32: Train Loss: 0.8351, Train Accuracy: 0.7429
Epoch 33: Train Loss: 0.8297, Train Accuracy: 0.7429
Epoch 34: Train Loss: 0.8242, Train Accuracy: 0.7405
Epoch 35: Train Loss: 0.8184, Train Accuracy: 0.7429
